uid,walletx2,max_priv_intermediary,max_priv_gov,max_priv_public,banklike,ir_studyr,male,topcoder,expectpricedown,open_source_browser,am_privacy_peers,am_privacy_int,am_privacy_gov,trust_gov,trust_startup,trust_retailer,es_pub,es_int,es_gov,rpgpextra,sb_cashing_out_btc_05,rmatrix,fw_notracePEERS,fw_notraceISP,fw_notraceGOV,wallet_order,first_wallet,rblockchain1,relectrum1,rcoinbase1,rcircle1,rblockchain2,relectrum2,rcoinbase2,rcircle2,rblockchain3,relectrum3,rcoinbase3,rcircle3,rblockchain4,relectrum4,rcoinbase4,rcircle4,best_priv_public_n1st,best_priv_int_n1st,best_priv_gov_n1st
507,Electrum,1,1,0,0,3,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,4,5,2,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
508,Blockchain,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,5,3,1,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
509,Circle,0,0,1,1,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,4,2,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
510,Circle,0,0,1,1,3,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,2,['Circle' 'Coinbase' 'Blockchain' 'Electrum'],Circle,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
511,Coinbase,0,0,1,1,2,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,2,3,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
512,Blockchain,1,0,0,0,3,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,3,4,5,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
513,Circle,0,0,1,1,4,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,4,2,1,['Circle' 'Blockchain' 'Electrum' 'Coinbase'],Circle,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
514,Blockchain,1,0,0,0,2,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,3,1,1,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
515,Blockchain,1,0,0,0,3,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,2,5,1,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
516,Circle,0,0,1,1,4,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,3,4,5,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
517,Coinbase,0,0,1,1,3,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,2,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
518,Circle,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,4,1,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
519,Coinbase,0,0,1,1,3,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,2,1,5,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
520,Coinbase,0,0,1,1,4,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,5,3,5,['Coinbase' 'Circle' 'Electrum' 'Blockchain'],Coinbase,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
521,Blockchain,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,3,5,2,['Circle' 'Blockchain' 'Electrum' 'Coinbase'],Circle,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
522,Blockchain,1,0,0,0,3,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,5,2,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
523,Blockchain,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
524,Blockchain,1,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,5,1,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
525,Blockchain,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,2,1,4,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
526,Circle,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,3,4,4,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
527,Circle,0,0,1,1,2,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,5,3,3,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
528,Circle,0,0,1,1,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,4,2,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
529,Coinbase,0,0,1,1,3,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,3,5,3,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
530,Blockchain,1,0,0,0,3,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,5,2,3,['Coinbase' 'Electrum' 'Blockchain' 'Circle'],Coinbase,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
531,Blockchain,1,0,0,0,4,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,4,1,3,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
532,Circle,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,3,1,['Electrum' 'Coinbase' 'Circle' 'Blockchain'],Electrum,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
533,Circle,0,0,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,5,2,3,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
534,Blockchain,1,0,0,0,2,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,4,2,3,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
535,Electrum,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1,['Electrum' 'Blockchain' 'Circle' 'Coinbase'],Electrum,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
536,Blockchain,1,0,0,0,3,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,2,2,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
537,Coinbase,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,4,2,2,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
538,Circle,0,0,1,1,4,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,5,5,4,['Circle' 'Coinbase' 'Blockchain' 'Electrum'],Circle,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
539,Electrum,1,1,0,0,2,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,5,1,4,['Electrum' 'Blockchain' 'Circle' 'Coinbase'],Electrum,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
540,Electrum,1,1,0,0,4,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,3,1,2,['Coinbase' 'Electrum' 'Circle' 'Blockchain'],Coinbase,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
541,Electrum,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,5,2,3,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
542,Circle,0,0,1,1,2,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
543,Blockchain,1,0,0,0,3,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,3,1,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
544,Coinbase,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,5,3,5,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
545,Circle,0,0,1,1,4,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,3,2,3,['Electrum' 'Coinbase' 'Circle' 'Blockchain'],Electrum,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
546,Circle,0,0,1,1,2,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,3,5,4,['Coinbase' 'Electrum' 'Circle' 'Blockchain'],Coinbase,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
547,Coinbase,0,0,1,1,3,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,3,2,4,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
548,Electrum,1,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,3,2,3,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
549,Coinbase,0,0,1,1,4,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,2,2,2,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
550,Circle,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,5,2,['Blockchain' 'Electrum' 'Circle' 'Coinbase'],Blockchain,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
551,Electrum,1,1,0,0,3,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,3,3,3,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
552,Circle,0,0,1,1,2,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,2,4,2,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
553,Electrum,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,5,2,4,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
554,Electrum,1,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,3,1,4,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
555,Blockchain,1,0,0,0,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,2,5,['Circle' 'Blockchain' 'Electrum' 'Coinbase'],Circle,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
556,Electrum,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,3,2,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
557,Circle,0,0,1,1,3,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,3,3,2,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
558,Electrum,1,1,0,0,3,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,4,1,4,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
559,Electrum,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,3,5,4,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
560,Blockchain,1,0,0,0,4,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,3,5,2,['Blockchain' 'Electrum' 'Circle' 'Coinbase'],Blockchain,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
561,Blockchain,1,0,0,0,4,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,3,2,5,['Circle' 'Coinbase' 'Blockchain' 'Electrum'],Circle,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
562,Coinbase,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,5,3,1,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
563,Coinbase,0,0,1,1,4,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,3,1,1,['Coinbase' 'Electrum' 'Blockchain' 'Circle'],Coinbase,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
564,Circle,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,3,2,3,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
565,Blockchain,1,0,0,0,4,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,3,3,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
566,Electrum,1,1,0,0,2,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,5,5,3,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
567,Circle,0,0,1,1,3,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,2,4,2,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
568,Blockchain,1,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,2,5,2,['Circle' 'Electrum' 'Blockchain' 'Coinbase'],Circle,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
569,Blockchain,1,0,0,0,4,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,5,3,1,['Electrum' 'Circle' 'Blockchain' 'Coinbase'],Electrum,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
570,Coinbase,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,5,1,4,['Circle' 'Coinbase' 'Blockchain' 'Electrum'],Circle,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
571,Coinbase,0,0,1,1,4,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,3,4,3,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
572,Coinbase,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,4,4,2,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
573,Electrum,1,1,0,0,2,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,3,4,1,['Electrum' 'Coinbase' 'Circle' 'Blockchain'],Electrum,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
574,Electrum,1,1,0,0,3,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,4,1,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
575,Circle,0,0,1,1,3,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,4,5,1,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
576,Coinbase,0,0,1,1,2,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,2,1,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
577,Circle,0,0,1,1,2,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,3,5,['Blockchain' 'Electrum' 'Coinbase' 'Circle'],Blockchain,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
578,Electrum,1,1,0,0,2,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,4,4,1,['Circle' 'Coinbase' 'Blockchain' 'Electrum'],Circle,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
579,Circle,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,4,4,3,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
580,Circle,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,2,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
581,Electrum,1,1,0,0,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,3,3,5,['Coinbase' 'Circle' 'Blockchain' 'Electrum'],Coinbase,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
582,Circle,0,0,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,5,5,['Blockchain' 'Coinbase' 'Electrum' 'Circle'],Blockchain,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
583,Blockchain,1,0,0,0,2,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,3,2,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
584,Electrum,1,1,0,0,2,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,2,5,4,['Coinbase' 'Electrum' 'Circle' 'Blockchain'],Coinbase,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
585,Coinbase,0,0,1,1,2,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,5,5,3,['Electrum' 'Blockchain' 'Coinbase' 'Circle'],Electrum,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
586,Circle,0,0,1,1,2,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,5,5,3,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
587,Circle,0,0,1,1,3,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,3,2,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
588,Blockchain,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,4,4,4,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
589,Circle,0,0,1,1,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,5,2,3,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
590,Coinbase,0,0,1,1,3,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,4,4,4,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
591,Coinbase,0,0,1,1,3,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,5,['Coinbase' 'Electrum' 'Circle' 'Blockchain'],Coinbase,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
592,Blockchain,1,0,0,0,3,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,4,2,['Circle' 'Blockchain' 'Electrum' 'Coinbase'],Circle,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
593,Electrum,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,5,5,5,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
594,Blockchain,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,4,2,4,['Coinbase' 'Blockchain' 'Circle' 'Electrum'],Coinbase,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
595,Electrum,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,5,4,2,['Electrum' 'Blockchain' 'Coinbase' 'Circle'],Electrum,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
596,Blockchain,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,3,3,5,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
597,Electrum,1,1,0,0,3,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,3,1,3,['Circle' 'Coinbase' 'Electrum' 'Blockchain'],Circle,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
598,Circle,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,3,5,2,['Blockchain' 'Circle' 'Electrum' 'Coinbase'],Blockchain,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
599,Electrum,1,1,0,0,3,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,4,3,3,['Electrum' 'Blockchain' 'Circle' 'Coinbase'],Electrum,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
600,Electrum,1,1,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,2,2,['Coinbase' 'Circle' 'Electrum' 'Blockchain'],Coinbase,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
601,Electrum,1,1,0,0,4,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,3,2,1,['Circle' 'Blockchain' 'Coinbase' 'Electrum'],Circle,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
602,Coinbase,0,0,1,1,3,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,4,4,3,['Circle' 'Electrum' 'Coinbase' 'Blockchain'],Circle,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
603,Coinbase,0,0,1,1,3,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,5,2,3,['Electrum' 'Blockchain' 'Circle' 'Coinbase'],Electrum,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
604,Coinbase,0,0,1,1,4,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,5,5,3,['Coinbase' 'Blockchain' 'Electrum' 'Circle'],Coinbase,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
605,Coinbase,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,2,['Blockchain' 'Circle' 'Coinbase' 'Electrum'],Blockchain,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
606,Coinbase,0,0,1,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,4,1,4,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
607,Circle,0,0,1,1,4,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,3,3,4,['Electrum' 'Coinbase' 'Blockchain' 'Circle'],Electrum,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
608,Coinbase,0,0,1,1,3,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,2,2,1,['Blockchain' 'Coinbase' 'Circle' 'Electrum'],Blockchain,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
609,Coinbase,0,0,1,1,4,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,2,['Electrum' 'Circle' 'Blockchain' 'Coinbase'],Electrum,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
610,Circle,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,4,3,1,['Electrum' 'Circle' 'Blockchain' 'Coinbase'],Electrum,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
611,Coinbase,0,0,1,1,2,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,2,4,['Electrum' 'Circle' 'Coinbase' 'Blockchain'],Electrum,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
612,Circle,0,0,1,1,3,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,4,['Coinbase' 'Circle' 'Electrum' 'Blockchain'],Coinbase,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
613,Electrum,1,1,0,0,4,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,5,2,1,['Electrum' 'Coinbase' 'Circle' 'Blockchain'],Electrum,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
